Chr_Start	line
Chr1_2924	EG4
Chr1_174500	EG4
Chr1_1116558	EG4
Chr1_1132974	EG4
Chr1_1624376	EG4
Chr1_1691678	EG4
Chr1_1715116	EG4
Chr1_1852226	EG4
Chr1_3444991	EG4
Chr1_3780848	EG4
Chr1_3826731	EG4
Chr1_3929764	EG4
Chr1_4076463	EG4
Chr1_4220009	EG4
Chr1_4230076	EG4
Chr1_5335610	EG4
Chr1_5394628	EG4
Chr1_6172232	EG4
Chr1_6806760	EG4
Chr1_6816414	EG4
Chr1_6846278	EG4
Chr1_6864903	EG4
Chr1_7514411	EG4
Chr1_8080398	EG4
Chr1_8479731	EG4
Chr1_8750743	EG4
Chr1_9142464	EG4
Chr1_9581604	EG4
Chr1_10903900	EG4
Chr1_11226134	EG4
Chr1_11431995	EG4
Chr1_12249227	EG4
Chr1_12375108	EG4
Chr1_13935274	EG4
Chr1_14047375	EG4
Chr1_16130485	EG4
Chr1_18405049	EG4
Chr1_18989741	EG4
Chr1_19040114	EG4
Chr1_19407316	EG4
Chr1_21229112	EG4
Chr1_21351850	EG4
Chr1_21412334	EG4
Chr1_21565699	EG4
Chr1_22415369	EG4
Chr1_22465946	EG4
Chr1_23112819	EG4
Chr1_24027733	EG4
Chr1_24082897	EG4
Chr1_24969376	EG4
Chr1_25256700	EG4
Chr1_25865811	EG4
Chr1_27497751	EG4
Chr1_28356228	EG4
Chr1_28918069	EG4
Chr1_28924284	EG4
Chr1_29276378	EG4
Chr1_29328835	EG4
Chr1_29398063	EG4
Chr1_29494571	EG4
Chr1_29496304	EG4
Chr1_29926800	EG4
Chr1_30895564	EG4
Chr1_31556969	EG4
Chr1_32204668	EG4
Chr1_32293359	EG4
Chr1_33766058	EG4
Chr1_34086311	EG4
Chr1_34281435	EG4
Chr1_34897488	EG4
Chr1_34998828	EG4
Chr1_35178668	EG4
Chr1_35465444	EG4
Chr1_35473331	EG4
Chr1_35607598	EG4
Chr1_35783192	EG4
Chr1_36114223	EG4
Chr1_36248501	EG4
Chr1_36270510	EG4
Chr1_36466451	EG4
Chr1_37828360	EG4
Chr1_38092037	EG4
Chr1_38092618	EG4
