Chr_Start	line
Chr1_174497	A123
Chr1_214352	A123
Chr1_316534	A123
Chr1_1193504	A123
Chr1_1867482	A123
Chr1_2119030	A123
Chr1_4414780	A123
Chr1_5120693	A123
Chr1_5623713	A123
Chr1_5709001	A123
Chr1_6057238	A123
Chr1_6432233	A123
Chr1_8326624	A123
Chr1_8667985	A123
Chr1_8698445	A123
Chr1_15512723	A123
Chr1_16327643	A123
Chr1_20599334	A123
Chr1_21174656	A123
Chr1_21556918	A123
Chr1_21565699	A123
Chr1_23345273	A123
Chr1_24082897	A123
Chr1_24181479	A123
Chr1_24252949	A123
Chr1_25086304	A123
Chr1_25280980	A123
Chr1_25281770	A123
Chr1_25866208	A123
Chr1_26106793	A123
Chr1_26205753	A123
Chr1_27292707	A123
Chr1_28161487	A123
Chr1_28490064	A123
Chr1_29931361	A123
Chr1_29935735	A123
Chr1_30235962	A123
Chr1_31412431	A123
Chr1_31877585	A123
Chr1_32658454	A123
Chr1_33282256	A123
Chr1_33766058	A123
Chr1_35200488	A123
Chr1_35488880	A123
Chr1_35936947	A123
Chr1_36428441	A123
Chr1_36796589	A123
Chr1_38092037	A123
Chr1_38092618	A123
Chr1_39152890	A123
Chr1_39428259	A123
Chr1_39666830	A123
Chr1_39899559	A123
Chr1_39904179	A123
Chr1_40702080	A123
Chr1_42038821	A123
Chr1_42320293	A123
Chr1_42365748	A123
Chr2_458589	A123
Chr2_681903	A123
Chr2_2831106	A123
Chr2_2834012	A123
Chr2_2883907	A123
Chr2_3502593	A123
Chr2_3639033	A123
Chr2_3991330	A123
Chr2_4119847	A123
Chr2_4243727	A123
Chr2_4338129	A123
Chr2_4644590	A123
Chr2_6664414	A123
Chr2_7838214	A123
Chr2_9418869	A123
Chr2_9438879	A123
Chr2_9640960	A123
Chr2_10202907	A123
Chr2_11041881	A123
Chr2_12298995	A123
Chr2_13202373	A123
Chr2_14819923	A123
Chr2_15709146	A123
Chr2_16222087	A123
Chr2_16678146	A123
Chr2_16986965	A123
Chr2_17969908	A123
Chr2_18251855	A123
Chr2_18266144	A123
Chr2_18302508	A123
Chr2_18458308	A123
Chr2_18464452	A123
Chr2_23175181	A123
Chr2_23819509	A123
Chr2_24157147	A123
Chr2_24264668	A123
Chr2_25760794	A123
Chr2_26207952	A123
Chr2_27148056	A123
Chr2_27201254	A123
Chr2_28383043	A123
Chr2_28948533	A123
Chr2_29990405	A123
Chr2_30089816	A123
Chr2_30375297	A123
